,date,sum,min,max,mean
4383,1993-01-01,0,-9,1,-8.5
4384,1993-02-01,0,-9,-1,-9.5
4385,1993-03-01,0,-4,1,-3.5
4386,1993-04-01,0,-9,0,-9.0
4387,1993-05-01,0,-5,2,-4.0
4388,1993-06-01,0,-4,4,-2.0
4389,1993-07-01,0,-3,5,-0.5
4390,1993-08-01,0,-3,8,1.0
4391,1993-09-01,0,-4,5,-1.5
4392,1993-10-01,0,-6,0,-6.0
4393,1993-11-01,0,-1,3,0.5
4394,1993-12-01,0,2,5,4.5
4395,1993-01-13,0,-1,5,1.5
4396,1993-01-14,0,0,8,4.0
4397,1993-01-15,0,-2,8,2.0
4398,1993-01-16,0,-3,7,0.5
4399,1993-01-17,0,-5,1,-4.5
4400,1993-01-18,0,-2,1,-1.5
4401,1993-01-19,0,-3,3,-1.5
4402,1993-01-20,0,-3,5,-0.5
4403,1993-01-21,0,-4,4,-2.0
4404,1993-01-22,0,-4,5,-1.5
4405,1993-01-23,0,-2,2,-1.0
4406,1993-01-24,0,-1,3,0.5
4407,1993-01-25,0,1,12,7.0
4408,1993-01-26,0,-5,7,-1.5
4409,1993-01-27,0,-5,9,-0.5
4410,1993-01-28,0,-6,7,-2.5
4411,1993-01-29,0,-4,7,-0.5
4412,1993-01-30,0,-5,8,-1.0
4413,1993-01-31,0,-4,5,-1.5
4414,1993-01-02,0,-3,7,0.5
4415,1993-02-02,0,-4,6,-1.0
4416,1993-03-02,0,-2,7,1.5
4417,1993-04-02,0,-3,8,1.0
4418,1993-05-02,0,-4,6,-1.0
4419,1993-06-02,0,-2,7,1.5
4420,1993-07-02,0,-1,11,4.5
4421,1993-08-02,0,-4,5,-1.5
4422,1993-09-02,0,-5,10,0.0
4423,1993-10-02,0,-5,6,-2.0
4424,1993-11-02,0,-3,5,-0.5
4425,1993-12-02,0,-5,6,-2.0
4426,1993-02-13,0,-4,7,-0.5
4427,1993-02-14,0,-4,7,-0.5
4428,1993-02-15,0,-6,7,-2.5
4429,1993-02-16,0,-1,6,2.0
4430,1993-02-17,0,-4,4,-2.0
4431,1993-02-18,0,-6,11,-0.5
4432,1993-02-19,0,-4,8,0.0
4433,1993-02-20,0,-1,11,4.5
4434,1993-02-21,0,-2,7,1.5
4435,1993-02-22,0.2,-2,4,0.0
4436,1993-02-23,0,-3,2,-2.0
4437,1993-02-24,0,-3,5,-0.5
4438,1993-02-25,0,-5,8,-1.0
4439,1993-02-26,0,-5,7,-1.5
4440,1993-02-27,0,-5,7,-1.5
4441,1993-02-28,0,-2,5,0.5
4442,1993-01-03,6.8,1,5,3.5
4443,1993-02-03,0,1,8,5.0
4444,1993-03-03,0,1,9,5.5
4445,1993-04-03,0,0,10,5.0
4446,1993-05-03,0,-1,7,2.5
4447,1993-06-03,0,-5,14,2.0
4448,1993-07-03,0,-2,13,4.5
4449,1993-08-03,0,-2,12,4.0
4450,1993-09-03,0,-5,12,1.0
4451,1993-10-03,0,-3,12,3.0
4452,1993-11-03,0,-2,15,5.5
4453,1993-12-03,0,-1,14,6.0
4454,1993-03-13,0,1,15,8.5
4455,1993-03-14,0,4,15,11.5
4456,1993-03-15,0,3,17,11.5
4457,1993-03-16,0,-1,20,9.0
4458,1993-03-17,0,0,27,13.5
4459,1993-03-18,0,5,26,18.0
4460,1993-03-19,0,5,25,17.5
4461,1993-03-20,0,5,23,16.5
4462,1993-03-21,0,3,20,13.0
4463,1993-03-22,0,9,17,17.5
4464,1993-03-23,0,9,16,17.0
4465,1993-03-24,0.4,7,13,13.5
4466,1993-03-25,4.8,6,11,11.5
4467,1993-03-26,0,3,18,12.0
4468,1993-03-27,0,0,10,5.0
4469,1993-03-28,0,2,10,7.0
4470,1993-03-29,0,-1,13,5.5
4471,1993-03-30,0,-1,15,6.5
4472,1993-03-31,0,-3,16,5.0
4473,1993-01-04,0,-1,17,7.5
4474,1993-02-04,0,6,19,15.5
4475,1993-03-04,0,6,15,13.5
4476,1993-04-04,3.8,4,12,10.0
4477,1993-05-04,4.6,6,20,16.0
4478,1993-06-04,0,3,21,13.5
4479,1993-07-04,0,3,30,18.0
4480,1993-08-04,0,6,23,17.5
4481,1993-09-04,0,4,19,13.5
4482,1993-10-04,0,6,15,13.5
4483,1993-11-04,6.2,6,14,13.0
4484,1993-12-04,29.2,5,13,11.5
4485,1993-04-13,3,6,11,11.5
4486,1993-04-14,3.2,5,26,18.0
4487,1993-04-15,0,6,18,15.0
4488,1993-04-16,0,3,23,14.5
4489,1993-04-17,0,5,21,15.5
4490,1993-04-18,0,2,22,13.0
4491,1993-04-19,0,7,21,17.5
4492,1993-04-20,0,5,24,17.0
4493,1993-04-21,0,11,22,22.0
4494,1993-04-22,0,6,24,18.0
4495,1993-04-23,0,5,24,17.0
4496,1993-04-24,0,8,24,20.0
4497,1993-04-25,0,10,19,19.5
4498,1993-04-26,0.8,10,24,22.0
4499,1993-04-27,0,7,27,20.5
4500,1993-04-28,0.6,12,19,21.5
4501,1993-04-29,2.8,11,23,22.5
4502,1993-04-30,0,11,17,19.5
4503,1993-01-05,3.4,6,18,15.0
4504,1993-02-05,0.4,7,22,18.0
4505,1993-03-05,1.6,7,23,18.5
4506,1993-04-05,0,10,26,23.0
4507,1993-05-05,3,9,26,22.0
4508,1993-06-05,2,9,22,20.0
4509,1993-07-05,2.2,10,22,21.0
4510,1993-08-05,0,9,24,21.0
4511,1993-09-05,0.4,10,25,22.5
4512,1993-10-05,0,12,27,25.5
4513,1993-11-05,0.2,11,23,22.5
4514,1993-12-05,0.4,11,22,22.0
4515,1993-05-13,3.4,8,21,18.5
4516,1993-05-14,0.2,7,24,19.0
4517,1993-05-15,0,7,28,21.0
4518,1993-05-16,0,11,25,23.5
4519,1993-05-17,0,9,26,22.0
4520,1993-05-18,0,9,26,22.0
4521,1993-05-19,0,10,28,24.0
4522,1993-05-20,0,15,34,32.0
4523,1993-05-21,3.6,11,23,22.5
4524,1993-05-22,5.6,9,25,21.5
4525,1993-05-23,0,8,27,21.5
4526,1993-05-24,0,10,28,24.0
4527,1993-05-25,1,13,30,28.0
4528,1993-05-26,0,13,30,28.0
4529,1993-05-27,0,20,28,34.0
4530,1993-05-28,0,13,26,26.0
4531,1993-05-29,2.4,11,27,24.5
4532,1993-05-30,0,11,27,24.5
4533,1993-05-31,0,16,30,31.0
4534,1993-01-06,0,13,29,27.5
4535,1993-02-06,0,14,32,30.0
4536,1993-03-06,14.4,13,21,23.5
4537,1993-04-06,0,13,27,26.5
4538,1993-05-06,0,10,31,25.5
4539,1993-06-06,0,12,31,27.5
4540,1993-07-06,0,16,32,32.0
4541,1993-08-06,11.6,15,32,31.0
4542,1993-09-06,0,18,31,33.5
4543,1993-10-06,0.2,16,30,31.0
4544,1993-11-06,6.6,15,27,28.5
4545,1993-12-06,0.8,13,26,26.0
4546,1993-06-13,0.2,13,21,23.5
4547,1993-06-14,5.6,13,28,27.0
4548,1993-06-15,2,13,28,27.0
4549,1993-06-16,0,11,30,26.0
4550,1993-06-17,0,18,29,32.5
4551,1993-06-18,0.2,11,27,24.5
4552,1993-06-19,0,11,29,25.5
4553,1993-06-20,0,14,30,29.0
4554,1993-06-21,3.4,14,28,28.0
4555,1993-06-22,1.6,17,26,30.0
4556,1993-06-23,19.2,16,24,28.0
4557,1993-06-24,5.4,15,31,30.5
4558,1993-06-25,0,12,26,25.0
4559,1993-06-26,0,15,31,30.5
4560,1993-06-27,0,10,28,24.0
4561,1993-06-28,0,16,30,31.0
4562,1993-06-29,0,13,21,23.5
4563,1993-06-30,0,14,28,28.0
4564,1993-01-07,0,15,29,29.5
4565,1993-02-07,0.6,16,29,30.5
4566,1993-03-07,0,17,30,32.0
4567,1993-04-07,0,14,32,30.0
4568,1993-05-07,0,16,31,31.5
4569,1993-06-07,0,19,30,34.0
4570,1993-07-07,0,16,31,31.5
4571,1993-08-07,0,10,27,23.5
4572,1993-09-07,0,17,28,31.0
4573,1993-10-07,0,15,25,27.5
4574,1993-11-07,59.8,12,23,23.5
4575,1993-12-07,3.2,11,25,23.5
4576,1993-07-13,0,8,27,21.5
4577,1993-07-14,0,10,25,22.5
4578,1993-07-15,0,14,26,27.0
4579,1993-07-16,0,17,31,32.5
4580,1993-07-17,0.8,16,30,31.0
4581,1993-07-18,0,20,30,35.0
4582,1993-07-19,5.8,17,26,30.0
4583,1993-07-20,30.6,15,24,27.0
4584,1993-07-21,5.8,14,28,28.0
4585,1993-07-22,0.2,13,30,28.0
4586,1993-07-23,0,9,30,24.0
4587,1993-07-24,0,11,28,25.0
4588,1993-07-25,0,15,27,28.5
4589,1993-07-26,0,14,31,29.5
4590,1993-07-27,0,14,26,27.0
4591,1993-07-28,0,16,31,31.5
4592,1993-07-29,0,17,32,33.0
4593,1993-07-30,0,18,32,34.0
4594,1993-07-31,0,16,32,32.0
4595,1993-01-08,0,13,32,29.0
4596,1993-02-08,0,17,32,33.0
4597,1993-03-08,0,16,35,33.5
4598,1993-04-08,0,17,34,34.0
4599,1993-05-08,0,20,33,36.5
4600,1993-06-08,0,17,32,33.0
4601,1993-07-08,0,16,31,31.5
4602,1993-08-08,11.4,17,31,32.5
4603,1993-09-08,0.2,14,31,29.5
4604,1993-10-08,0,12,28,26.0
4605,1993-11-08,2.6,14,31,29.5
4606,1993-12-08,0,17,29,31.5
4607,1993-08-13,0,14,33,30.5
4608,1993-08-14,0,15,33,31.5
4609,1993-08-15,0,14,33,30.5
4610,1993-08-16,0,17,35,34.5
4611,1993-08-17,0,16,37,34.5
4612,1993-08-18,1.2,16,33,32.5
4613,1993-08-19,0,16,31,31.5
4614,1993-08-20,0,17,36,35.0
4615,1993-08-21,0,16,32,32.0
4616,1993-08-22,0,17,32,33.0
4617,1993-08-23,0,18,32,34.0
4618,1993-08-24,0.4,18,29,32.5
4619,1993-08-25,17.8,17,30,32.0
4620,1993-08-26,0,16,27,29.5
4621,1993-08-27,3,17,20,27.0
4622,1993-08-28,25,15,27,28.5
4623,1993-08-29,0,8,28,22.0
4624,1993-08-30,0,7,23,18.5
4625,1993-08-31,0,12,30,27.0
4626,1993-01-09,0,9,28,23.0
4627,1993-02-09,0,9,25,21.5
4628,1993-03-09,0,11,22,22.0
4629,1993-04-09,0,8,17,16.5
4630,1993-05-09,4.8,6,26,19.0
4631,1993-06-09,0,7,22,18.0
4632,1993-07-09,0,10,23,21.5
4633,1993-08-09,0.2,14,17,22.5
4634,1993-09-09,1.6,15,19,24.5
4635,1993-10-09,9.8,13,26,26.0
