,Name,Count
0,Celtis australis,1028
1,Aesculus hippocastanum,581
2,Carpinus betulus,536
3,Tilia cordata,509
4,Platanus x hispanica,502
5,Tilia x europaea,471
6,Acer campestre,458
7,Cupressus,399
8,Sophora japonica,376
9,Prunus cerasifera,350
10,Pinus nigra,335
11,Liriodendron tulipifera,301
12,Parrotia persica,272
13,Quercus robur,272
14,Robinia pseudoacacia,269
15,Cedrus deodara,246
16,Platanus x acerifolia 'Bloodgood',220
17,Ostrya carpinifolia,211
18,Prunus avium,208
19,Acer negundo,178
20,Acer pseudoplatanus,171
21,Pyrus calleryana,167
22,Acer platanoides,157
23,Cupressus sempervirens,151
24,Quercus rubra,148
25,Fraxinus excelsior,144
26,Liquidambar styraciflua,141
27,Fraxinus angustifolia,132
28,Fraxinus ornus,131
29,Picea abies,130
30,Betula pendula,130
31,Fagus sylvatica,120
32,Populus nigra,110
33,Betula,103
34,Morus nigra,92
35,Acer saccharinum,89
36,Corylus colurna,88
37,Morus alba,76
38,Alnus,74
39,Acer,73
40,Cedrus atlantica,70
41,Fraxinus,69
42,Quercus pubescens,67
43,Tilia platyphyllos,61
44,Gleditsia triacanthos,60
45,Magnolia grandiflora,60
46,Ginkgo biloba,59
47,Cercis siliquastrum,56
48,Cedrus libani,52
49,Ulmus,51
50,Taxus baccata,47
51,Ulmus minor,46
52,Acer palmatum,41
53,Prunus,38
54,Quercus petraea,38
55,Ligustrum lucidum,36
56,Fraxinus americana,36
57,Thuja orientalis,36
58,Acer buergerianum,35
59,Abies alba,31
60,Pseudotsuga menziesii,31
61,Crataegus,31
62,Pinus sylvestris,30
63,Platanus,27
64,Quercus ilex,26
65,Ulmus glabra,26
66,Acer x freemanii,26
67,Clerodendrum trichotomum,25
68,Pinus strobus,24
69,Acer rubrum,24
70,Paulownia tomentosa,23
71,Tilia,23
72,Ligustrum japonicum,23
73,Populus alba,22
74,Platanus orientalis,22
75,Fagus,22
76,Berberis thunbergii,21
77,Prunus dulcis,21
78,Pyrus communis,21
79,Platanus occidentalis,20
80,Betula nigra,20
81,Prunus serrulata,20
82,Tilia x vulgaris,19
83,Quercus,19
84,Ilex aquifolium,19
85,Malus floribunda,19
86,Catalpa bignonioides,18
87,Chamaecyparis lawsoniana,18
88,Sambucus nigra,17
89,Ilex,17
90,Buxus sempervirens,16
91,Sorbus aucuparia,16
92,Ligustrum,15
93,Lagerstroemia indica,15
94,Tilia x euchlora,15
95,Juglans nigra,14
96,Koelreuteria paniculata,14
97,Ulmus pumila,14
98,Pterocarya rhoifolia,13
99,Olea europaea,13
100,Magnolia x soulangeana,13
101,Parthenocissus,13
102,Acer monspessulanum,13
103,Corylus avellana,12
104,Pyrus,12
105,Taxodium distichum,12
106,Picea pungens,11
107,Ailanthus altissima,11
108,Crataegus x lavallei,11
109,Sorbus,11
110,Prunus mahaleb,11
111,Davidia involucrata,10
112,Photinia x fraseri,10
113,Alnus incana,10
114,Pinus wallichiana,10
115,Ficus carica,10
116,Cedrus,9
117,Malus,9
118,Thuja,9
119,Salix babylonica,9
120,Larix decidua,9
121,Sorbus thuringiaca,8
122,Abies,8
123,Cornus,8
124,Metasequoia glyptostroboides,8
125,Diospyros kaki,7
126,Elaeagnus pungens,7
127,Sorbus torminalis,7
128,Salix,7
129,Juglans regia,7
130,Prunus laurocerasus,7
131,Nerium oleander,7
132,Diospyros lotus,7
133,Populus,6
134,Magnolia,6
135,Prunus padus,6
136,Pterocarya,6
137,Juniperus chinensis,6
138,Laurus nobilis,6
139,Cupressus arizonica,6
140,Corylus maxima,6
141,Alnus glutinosa,6
142,Acer tataricum ssp. ginnala,6
143,Crataegus monogyna,5
144,Quercus cerris,5
145,Zelkova carpinifolia,5
146,Photinia serrulata,5
147,Picea glauca,5
148,Picea,5
149,Morus,4
150,Picea obovata,4
151,Prunus domestica,4
152,Pinus,4
153,Tilia tomentosa,4
154,Juniperus drupacea,4
155,Wisteria sinensis,4
156,Albizia julibrissin,3
157,Chamaecyparis,3
158,Eriobotrya japonica,3
159,Sequoiadendron giganteum,3
160,Salix magnifica,3
161,Philadelphus,3
162,Ulmus laevis,3
163,Rhododendron obtusum,3
164,Cupressus lusitanica,3
165,Cupressus torulosa,3
166,Pittosporum tobira,3
167,Osmanthus fragrans,3
168,Lonicera,3
169,Pinus pinaster,3
170,Juglans,3
171,Pinus halepensis,3
172,Pinus coulteri,2
173,Thuja occidentalis,2
174,Jasminum,2
175,Calycanthus,2
176,Populus tremula,2
177,Punica granatum,2
178,Spiraea japonica,2
179,Aucuba japonica,2
180,Thuja plicata,2
181,Arbutus unedo,2
182,Cornus mas,2
183,Philadelphus pubescens,2
184,Maclura pomifera,2
185,Viburnum,2
186,Viburnum sieboldii,2
187,Hibiscus syriacus,2
188,Spiraea,2
189,Malus sylvestris,2
190,Hedera helix,2
191,Salix x sepulcralis v. chrysocoma,2
192,Salix alba,2
193,Fraxinus angustifolia ssp. Oxycarpa,2
194,Cornus sanguinea,2
195,Elaeagnus,2
196,Acacia,1
197,Eucalyptus cordata,1
198,Acer tataricum,1
199,Torreya nucifera,1
200,Acer opalus,1
201,Abies nordmanniana,1
202,Pinus bungeana,1
203,Abies pinsapo,1
204,Picea sitchensis,1
205,Pinus cembra,1
206,Laburnum anagyroides,1
207,Zanthoxylum flavum,1
208,Aesculus,1
209,Sequoia sempervirens,1
210,Forsythia viridissima,1
211,Alnus cordata,1
212,Forsythia x intermedia,1
213,Prunus lusitanica,1
214,Magnolia kobus,1
215,Rhus typhina,1
216,Betula lenta,1
217,Calocedrus decurrens,1
218,Tamarix gallica,1
219,Syringa vulgaris,1
220,Lagerstroemia,1
221,Catalpa,1
222,Prunus amygdalus,1
223,Cornus nuttallii,1
