Name,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Carbon Storage (kg)
Celtis australis,6,1.8,6,28.3,43.9,19.6
Celtis australis,6,1.8,6,28.3,57,19.6
Celtis australis,6,1.8,6,28.3,115.3,1075.4
Celtis australis,5.5,1.7,5,19.6,34.3,15.6
Celtis australis,6.5,1.9,6,28.3,55,19.6
Celtis australis,4.5,1.3,5,19.6,36.2,26.3
Celtis australis,5,1.5,5,19.6,31.7,21.7
Celtis australis,4.5,1.3,5,19.6,34.9,21.7
Celtis australis,4.5,1.3,5,19.6,33.3,17.5
Celtis australis,4,1.2,4,12.6,19.8,17.5
Celtis australis,4,1.2,4,12.6,14.9,15.6
Celtis australis,4,1.2,4,12.6,14.9,15.6
Celtis australis,4,1.2,4,12.6,19.3,15.6
Celtis australis,4,1.2,4,12.6,19.3,15.6
Celtis australis,4,1.2,4,12.6,14.5,13.7
Celtis australis,9,2.7,14,153.9,400.9,86.09999999999999
Celtis australis,8,2.4,12,113.1,309,64.09999999999999
Celtis australis,8,2.4,12,113.1,309,64.09999999999999
Celtis australis,10,3,3,7.1,14.3,17.5
Celtis australis,10,3,3,7.1,17.3,17.5
Celtis australis,12,3.6,3,7.1,20.6,28.7
Celtis australis,18,5.4,5,19.6,109.6,308
Celtis australis,8,2.4,3,7.1,16.7,28.7
Celtis australis,8,2.4,3,7.1,16.7,28.7
Celtis australis,8,2.4,3,7.1,14.8,28.7
Celtis australis,6,1.8,3,7.1,11.7,17.5
Celtis australis,8,2.4,8,50.3,112,39.2
Celtis australis,7,2.1,6,28.3,63.5,26.3
Celtis australis,6,1.8,5,19.6,31.2,15.6
Celtis australis,6,1.8,5,19.6,29.2,15.6
Celtis australis,6,1.8,5,19.6,35.3,15.6
Celtis australis,5,1.5,3,7.1,10.7,15.6
Celtis australis,5,1.5,3,7.1,10.7,15.6
Celtis australis,5,1.5,3,7.1,12,15.6
Celtis australis,5,1.5,3,7.1,10.7,15.6
Celtis australis,5,1.5,3,7.1,12,15.6
Celtis australis,6,1.8,5,19.6,31.2,15.6
Celtis australis,6,1.8,5,19.6,29.2,15.6
Celtis australis,5,1.5,3,7.1,10,15.6
Celtis australis,5,1.5,2.5,4.9,6.4,10.3
Celtis australis,5,1.5,2.5,4.9,7.8,10.3
Celtis australis,5,1.5,2.5,4.9,8.300000000000001,10.3
Celtis australis,5,1.5,3,7.1,12,15.6
Celtis australis,6,1.8,5,19.6,31.2,15.6
Celtis australis,6,1.8,5,19.6,33.2,15.6
Celtis australis,6,1.8,5,19.6,26.5,13.7
