,year,month,min,max,mean
0,1993,January,-1,9,4.82258064516129
1,1993,February,-1,8,6.0
2,1993,March,-1,9,12.935483870967742
3,1993,April,-2,8,16.316666666666666
4,1993,May,-1,7,20.79032258064516
5,1993,June,-2,7,22.616666666666667
6,1993,July,-1,5,23.983870967741936
7,1993,August,-1,8,24.403225806451612
8,1993,September,-4,6,19.8
9,1993,October,-1,8,13.129032258064516
10,1993,November,-1,9,6.166666666666667
11,1993,December,-1,7,4.225806451612903
12,1997,January,-1,9,5.516129032258065
13,1997,February,-1,9,8.875
14,1997,March,-2,9,13.564516129032258
15,1997,April,-1,8,14.1
16,1997,May,-2,4,20.983870967741936
17,1997,June,-3,4,22.15
18,1997,July,-1,4,24.096774193548388
19,1997,August,-3,5,24.516129032258064
20,1997,September,-1,6,19.7
21,1997,October,-1,9,12.03225806451613
22,1997,November,-1,9,9.05
23,1997,December,-1,9,8.290322580645162
24,2001,January,-1,9,6.548387096774194
25,2001,February,-1,9,9.0
26,2001,March,-1,6,14.53225806451613
27,2001,April,-1,9,13.9
28,2001,May,-2,8,23.129032258064516
29,2001,June,-1,7,23.95
30,2001,July,1,8,25.919354838709676
31,2001,August,-4,9,26.14516129032258
32,2001,September,-6,9,17.716666666666665
33,2001,October,-5,9,15.887096774193548
34,2001,November,-1,9,6.7
35,2001,December,-1,6,1.7096774193548387
36,2005,January,-0.4,9.6,5.7
37,2005,February,-0.2,9.6,8.658928571428572
38,2005,March,-0.4,9.2,16.020967741935483
39,2005,April,-1.4,7.8,17.096666666666668
40,2005,May,-0.4,5.4,22.10483870967742
41,2005,June,-4.4,9.3,26.85666666666667
42,2005,July,-1.8,7,26.851612903225806
43,2005,August,-3.2,32,23.641935483870967
44,2005,September,-1,5.2,20.488333333333333
45,2005,October,-1.8,5.8,15.288709677419355
46,2005,November,-0.2,9.4,6.965
47,2005,December,-0.4,9.2,4.548387096774194
48,2009,January,-0.4,9.2,8.874193548387098
49,2009,February,-0.1,9.5,9.696428571428571
50,2009,March,-0.2,9.8,13.89516129032258
51,2009,April,-6.6,9,17.71833333333333
52,2009,May,-7.1,9.7,24.34193548387097
53,2009,June,-2.8,6.4,25.461666666666666
54,2009,July,-0.6,8.9,26.799999999999997
55,2009,August,-2.1,9.6,27.924193548387095
56,2009,September,-0.2,8.3,22.38
57,2009,October,-0.6,8.1,14.47258064516129
58,2009,November,-0.6,9.5,12.858333333333333
59,2009,December,-0.2,9.8,5.875806451612903
60,2013,January,-0.1,8.7,8.206451612903226
61,2013,February,-0.1,9.6,9.75
62,2013,March,-0.8,9.4,12.288709677419355
63,2013,April,-0.6,8.3,20.168333333333333
64,2013,May,-0.2,9.5,19.438709677419357
65,2013,June,-2.2,8.9,25.83
66,2013,July,-0.3,8.9,28.932258064516127
67,2013,August,-0.5,7,25.80806451612903
68,2013,September,-0.8,7.4,21.62
69,2013,October,-1,8.4,18.059677419354838
70,2013,November,-1,9,11.608333333333333
71,2013,December,-0.2,9.4,9.511290322580646
72,2017,January,-0.4,6.5,6.293548387096774
73,2017,February,-0.3,9.7,11.903571428571428
74,2017,March,-3,9.3,17.4741935483871
75,2017,April,-3.1,9,17.365000000000002
76,2017,May,-3.7,6.9,25.0258064516129
77,2017,June,-1.8,8,27.271666666666665
78,2017,July,-3.7,9.7,26.479032258064517
79,2017,August,-0.9,9.6,25.848387096774196
80,2017,September,-6.6,9.9,19.631666666666668
81,2017,October,-4.4,6.9,16.740322580645163
82,2017,November,-0.8,9.9,10.53
83,2017,December,-0.5,9.9,6.566129032258065
84,2021,January,-0.2,8.2,6.201612903225806
85,2021,February,-0.6,8,11.939285714285715
86,2021,March,-0.7,8.9,13.709677419354838
87,2021,April,-0.3,9.6,16.526666666666667
88,2021,May,-0.7,7.8,19.29032258064516
89,2021,June,0,7.7,27.25
90,2021,July,-0.6,9.2,25.703225806451616
91,2021,August,-0.3,8.5,23.953225806451613
92,2021,September,-1.3,8.2,21.985000000000003
93,2021,October,-5.7,7,13.758064516129032
94,2021,November,-0.4,9.8,11.468333333333334
95,2021,December,-0.3,9.9,7.622580645161291
